Cleaning#DISFLUENCIES	Cleaning#DUPLICATES	Cleaning#FILLERS	KEY	SESSION_ORDER	TokenFiltering	TokenType	Tokenization	UtteranceFiltering	TEST_ITER	Training#ALL_NEG	Training#ONE_NEG	Training#SENTIMENT	TESTED_UTT_COUNT#ALL_NEG	TOKEN_COUNT#ALL_NEG	TOTAL_UTT_COUNT#ALL_NEG	TESTED_UTT_COUNT#ONE_NEG	TOKEN_COUNT#ONE_NEG	TOTAL_UTT_COUNT#ONE_NEG	TESTED_UTT_COUNT#SENTIMENT	TOKEN_COUNT#SENTIMENT	TOTAL_UTT_COUNT#SENTIMENT
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1814-susanne-Chris/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	4.0	10.0	4.0	23	75	23	23	75	23	23	75	23
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1814-susanne-Chris/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	4.0	9.0	4.0	23	75	23	23	75	23	23	75	23
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1814-susanne-Chris/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	4.0	4.0	4.0	23	75	23	23	75	23	23	75	23
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1555-nacho-Tobias/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	8.0	8.0	13.0	18	68	19	18	68	19	18	68	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1555-nacho-Tobias/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	8.0	13.0	13.0	18	68	19	18	68	19	18	68	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1555-nacho-Tobias/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	8.0	10.0	13.0	18	68	19	18	68	19	18	68	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1555-nacho-Tobias/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	8.0	9.0	13.0	18	68	19	18	68	19	18	68	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1555-nacho-Tobias/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	8.0	9.0	13.0	18	68	19	18	68	19	18	68	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1628-John-NOTRUDE/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	8.0	2.0	6.0	3	19	3	3	19	3	3	19	3
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1628-John-NOTRUDE/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	8.0	10.0	6.0	3	19	3	3	19	3	3	19	3
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1628-John-NOTRUDE/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	8.0	8.0	6.0	3	19	3	3	19	3	3	19	3
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1628-John-NOTRUDE/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	8.0	10.0	6.0	3	19	3	3	19	3	3	19	3
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170408-1628-John-NOTRUDE/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	8.0	6.0	6.0	3	19	3	3	19	3	3	19	3
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170410-1312-suzie-fred/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	2.0	8.0	2.0	26	78	26	26	78	26	26	78	26
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170410-1312-suzie-fred/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	2.0	19.0	2.0	26	78	26	26	78	26	26	78	26
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170410-1312-suzie-fred/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	2.0	1.0	2.0	26	78	26	26	78	26	26	78	26
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170410-1312-suzie-fred/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	2.0	2.0	2.0	26	78	26	26	78	26	26	78	26
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170410-1312-suzie-fred/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	2.0	9.0	2.0	26	78	26	26	78	26	26	78	26
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170411-1718-karey-tangram_Jutta/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	11.0	15.0	11.0	11	44	11	11	44	11	11	44	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170411-1718-karey-tangram_Jutta/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	11.0	1.0	11.0	11	44	11	11	44	11	11	44	11
